# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# Number of images: 240, mean observations per image: TBD
50 0.22184572680503792 0.2682241414996036 0.7223932832628305 -0.5974849183970196 0 0 0 50 image_50.png

51 0.742086622555797 0.613773127396945 0.1717158307562715 -0.2076142244086059 0 0 0 51 image_51.png

52 0.6367960271965811 0.7699226542934741 -0.03186452193052651 0.026354855235449722 0 0 0 52 image_52.png

53 0.3201518079924816 0.9464633609694171 -0.039170950591967145 0.013250011748739186 0 0 0 53 image_53.png

54 0.2667964295569018 0.7887290589754088 0.5246272229141992 -0.17746102017285512 0 0 0 54 image_54.png

55 0.5306698046832665 0.6416100135653104 0.4267702410051384 -0.3529777759046059 0 0 0 55 image_55.png

56 0.9122446259851111 0.3085769631577784 0.08633083029114698 -0.255219489676727 0 0 0 56 image_56.png

57 0.7223932832628305 0.5974849183970196 -0.22184572680503792 0.2682241414996036 0 0 0 57 image_57.png

58 0.2512201337949975 0.7426808342860901 -0.5880071526874489 0.19890000288723 0 0 0 58 image_58.png

59 0.11153385893823078 0.32972705401325114 0.8880356550029911 -0.3003879884507669 0 0 0 59 image_59.png

60 -0.47832810184589786 -0.39562082888885586 -0.49968784359436164 0.6041510123287155 0 0 0 60 image_60.png

61 -0.19145024086678247 -0.0647601898098004 -0.3138134307827563 0.9277252037905437 0 0 0 61 image_61.png

62 0.7001896793593663 0.23684700063671713 0.21581531796660822 -0.6380138397707298 0 0 0 62 image_62.png

63 0.5695856013107766 0.47109907451080796 0.4292661365451229 -0.5190072145838872 0 0 0 63 image_63.png

64 0.31539133806620306 0.38132604162370193 0.6696168178543499 -0.5538339743091094 0 0 0 64 image_64.png

65 -0.1557396486690394 -0.12881085358550426 -0.6241886893948145 0.7546796710277822 0 0 0 65 image_65.png

66 0.9414804774279155 0.318466308487376 0.035383093984282576 -0.10460285675174975 0 0 0 66 image_66.png

67 0.3904166799354804 0.1320627986519453 -0.2919454883074503 0.8630770910511394 0 0 0 67 image_67.png

68 -0.07037852022587651 -0.08509162158577155 0.7658692166197791 -0.6334434646130036 0 0 0 68 image_68.png

69 0.15856426622851721 0.4687628053810966 0.823157740194019 -0.27844234686076774 0 0 0 69 image_69.png

70 0.5806923667854254 0.7020901554154964 0.3175935445712485 -0.26267875679707275 0 0 0 70 image_70.png

71 0.6696168199695203 0.553833963008018 -0.31539134430312854 0.38132604916449914 0 0 0 71 image_71.png

72 -0.4292661365451229 -0.5190072145838872 0.5695856013107766 -0.47109907451080796 0 0 0 72 image_72.png

73 -0.21581531796660822 -0.6380138397707298 0.7001896793593663 -0.23684700063671713 0 0 0 73 image_73.png

74 0.31381343094596764 0.9277252042730446 -0.1914502409663539 0.06476018181246054 0 0 0 74 image_74.png

75 0.6241886839504742 0.7546796743177724 -0.1557396473106366 0.12881086233448927 0 0 0 75 image_75.png

76 0.8231577443431333 0.2784423301618144 -0.15856426702775805 0.46876280774388857 0 0 0 76 image_76.png

77 0.3175935445712485 0.26267875679707275 -0.5806923667854254 0.7020901554154964 0 0 0 77 image_77.png

78 -0.03538308608050448 -0.10460285678103966 0.9414804776915401 -0.31846630857654995 0 0 0 78 image_78.png

79 0.2919454886402806 0.8630770920350839 0.390416680380572 -0.1320627901699241 0 0 0 79 image_79.png

